Unnamed: 0,PREVIOUS YEARS,Unnamed: 2,Unnamed: 3,Unnamed: 4,PERIOD,Unnamed: 6,Unnamed: 7,Unnamed: 8,YTD VS PY,Unnamed: 10,Unnamed: 11,Unnamed: 12,FORECAST,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,2024 CURRENT FORECAST,2025 BUDGET       ,,,
,FY 2019, FY 2022, FY 2023,,NOV 2023,NOV 2024,VAR %,,YTD 23, YTD 24,Var %,,,,,,
,2019,2022,2023,,2023,2024,,,2023,2024,,,2024,2025,,,
,Dec YTD,Dec YTD,Dec YTD,,Nov,Nov,Var %,,Nov YTD,Nov YTD,Var %,,Year,Year,YTD %,,2024
,Actual,Actual,Actual,,Actual,Actual,Y-1,,Actual,Actual,Y-1,,Q3F,Budget,2023,2024.0,Â£ YTG
AC 5030 Outdoor space,,,,,,,,,,,,,,,,,
AC 5045 Mailings ,,,,,,,,,,,,,,,,,
AC 5019 Press Space Magazines ,,,,,,,,,,,,,,,,,
AC 5021 Press Space Newspapers & Supplements ,,,,,,,,,,,,,,,,,
AC 5047 Digital Display,,,,,,,,,,,,,,,,,
AC 5001 Tv,,,,,,,,,,,,,,,,,
AC 5043 Ad-Serving,,,,,,,,,,,,,,,,,
AC 5042 Social,,,,,,,,,,,,,,,,,
AC 5044 VOD,,,,,,,,,,,,,,,,,
AC 5048 Internet,,,,,,,,,,,,,,,,,
AC 5000 TV & radio time,,,,,,,,,,,,,,,,,
AC 5046 Search,,,,,,,,,,,,,,,,,
AC 5035 Charity Space,,,,,,,,,,,,,,,,,
AC 5032 Cinema,,,,,,,,,,,,,,,,,
TOTAL SPACE,,,,,,,,,,,,,,,,,
AC 5005 TV & Radio prod'n,,,,,,,,,,,,,,,,,
AC 5007 TV Production,,,,,,,,,,,,,,,,,
AC 5008 Cinema Production,,,,,,,,,,,,,,,,,
AC 5025 Press Production,,,,,,,,,,,,,,,,,
AC 5031 Outdoor Production,,,,,,,,,,,,,,,,,
AC 5049 Internet Production,,,,,,,,,,,,,,,,,
AC 5040 Charity Production,,,,,,,,,,,,,,,,,
TOTAL PRODUCTION,,,,,,,,,,,,,,,,,
AC 5015 Media Fees,,,,,,,,,,,,,,,,,
AC 5010 Agency Fees,,,,,,,,,,,,,,,,,
AC 5028 BEAUTE PRESS SAMPLES AUTO,,,,,,,,,,,,,,,,,
TOTAL MEDIA FEES,,,,,,,,,,,,,,,,,
AC 5065 Central Adv Prod'n,,,,,,,,,,,,,,,,,
AC 5066 Global Brand Corporate,,,,,,,,,,,,,,,,,
AC 5067 Global Brand Divisional,,,,,,,,,,,,,,,,,
CO-5000 Advertising,,,,,,,,,,,,,,,,,
TOTAL MEDIA SPEND,,,,,,,,,,,,,,,,,
TOTAL COMMISSION,,,,,,,,,,,,,,,,,
TOTAL EXCLUDING GLOBAL COSTS,,,,,,,,,,,,,,,,,
